INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,7/16/2014,9,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/2/2014,3,,,,,
HAMLIN AND MADISON,1901,0 N HAMLIN BOULEVARD,7/1/2014,3,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/8/2014,3,,,,,
115TH AND HALSTED,2552,11500 S HALSTED STREE,7/26/2014,18,,,,,
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,7/15/2014,4,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/12/2014,5,,,,,
HALSTED AND 103RD,2592,10300 S HALSTED STREE,7/26/2014,12,,,,,
IRVING PARK AND LARAMIE,1534,5200 W IRVING PARK ROA,7/30/2014,4,,,,,
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,7/19/2014,2,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,7/5/2014,10,,,,,
HALSTED AND 103RD,2592,10300 S HALSTED STREE,7/4/2014,11,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,7/18/2014,10,,,,,
IRVING PARK AND LARAMIE,1534,5200 W IRVING PARK ROA,7/12/2014,2,,,,,
115TH AND HALSTED,2552,11500 S HALSTED STREE,7/30/2014,16,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,7/3/2014,20,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,8/5/2014,4,,,,,
HOMAN/KIMBALL AND NORTH,1771,1600 N HOMAN AVENUE,7/14/2014,2,,,,,
HOMAN/KIMBALL AND NORTH,1771,1600 N HOMAN AVENUE,7/18/2014,2,,,,,
ASHLAND AND MADISON,1911,0 N ASHLAND AVE,7/17/2014,1,,,,,
KIMBALL AND DIVERSEY,1581,2800 N KIMBALL AVENUE,7/21/2014,8,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,8/4/2014,13,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,7/23/2014,7,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/16/2014,10,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/1/2014,2,,,,,
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,7/4/2014,6,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,8/1/2014,5,,,,,
115TH AND HALSTED,2552,11500 S HALSTED STREE,7/4/2014,30,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/16/2014,1,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/22/2014,3,,,,,
ASHLAND AND IRVING PARK,1153,1600 W IRVING PARK ROA,7/23/2014,3,,,,,
115TH AND HALSTED,2552,11500 S HALSTED STREE,7/1/2014,21,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/11/2014,3,,,,,
ASHLAND AND MADISON,1911,0 N ASHLAND AVE,7/30/2014,2,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/10/2014,5,,,,,
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,7/21/2014,2,,,,,
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,8/7/2014,5,,,,,
HAMLIN AND MADISON,1901,0 N HAMLIN BOULEVARD,7/27/2014,1,,,,,
HOMAN/KIMBALL AND NORTH,1771,1600 N HOMAN AVENUE,7/20/2014,1,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/29/2014,3,,,,,
IRVING PARK AND LARAMIE,1534,5200 W IRVING PARK ROA,7/18/2014,4,,,,,
KIMBALL AND DIVERSEY,1581,2800 N KIMBALL AVENUE,7/28/2014,3,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,7/27/2014,14,,,,,
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,7/25/2014,5,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,7/23/2014,16,,,,,
IRVING PARK AND LARAMIE,1534,5200 W IRVING PARK ROA,7/22/2014,4,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,7/6/2014,14,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,7/22/2014,16,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,7/10/2014,12,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,8/3/2014,2,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,8/1/2014,25,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,8/1/2014,8,,,,,
KIMBALL AND DIVERSEY,1581,2800 N KIMBALL AVENUE,7/2/2014,3,,,,,
MADISON AND CENTRAL,1751,0 S CENTRAL AVENUE,8/2/2014,6,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,7/7/2014,5,,,,,
HOMAN/KIMBALL AND NORTH,1771,1600 N HOMAN AVENUE,8/4/2014,1,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/16/2014,5,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/22/2014,2,,,,,
MADISON AND CENTRAL,1751,0 S CENTRAL AVENUE,7/5/2014,5,,,,,
ASHLAND AND IRVING PARK,1153,1600 W IRVING PARK ROA,7/25/2014,5,,,,,
HALSTED AND 103RD,2592,10300 S HALSTED STREE,8/6/2014,6,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,7/23/2014,10,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/18/2014,13,,,,,
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,7/14/2014,4,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,7/31/2014,17,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/12/2014,7,,,,,
HALSTED AND 103RD,2592,10300 S HALSTED STREE,7/10/2014,10,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,7/9/2014,15,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,7/17/2014,10,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/24/2014,12,,,,,
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,7/4/2014,3,,,,,
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,7/17/2014,1,,,,,
HALSTED AND 103RD,2592,10300 S HALSTED STREE,7/2/2014,8,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,8/18/2014,7,,,,,
PULASKI AND FOSTER,1102,5200 N PULASKI RD,9/16/2014,5,1148746.251,1934286.914,41.97562074,-87.72838314,"(41.97562073966174, -87.72838313514907)"
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/1/2014,3,,,,,
PULASKI AND NORTH,1994,4000 W NORTH AVENUE,7/25/2014,7,1149456.269,1910376.774,41.90999558,-87.72639469,"(41.90999558160536, -87.72639469321471)"
IRVING PARK AND NARRAGANSETT,1024,6400 W IRVING PK,9/11/2014,4,1132945.939,1925946.305,41.95302475,-87.78668324,"(41.95302475075328, -87.78668323766634)"
ASHLAND AND ARCHER,2302,3100 S ARCHER AVENUE,7/6/2014,2,1166129.032,1884166.614,41.83773268,-87.66589445,"(41.83773267497158, -87.66589444999927)"
CICERO AND PETERSON,1204,4800 W PETERSON AVENUE,9/25/2014,1,1143273.767,1939491.945,41.99000801,-87.74837695,"(41.99000800729908, -87.74837695118997)"
71ST AND ASHLAND,2391,7100 S ASHLAND,9/28/2014,1,1166868.38,1857616.168,41.76485938,-87.66394018,"(41.764859382425385, -87.66394017630476)"
99TH AND HALSTED,2431,9900 S HALSTED ST,10/6/2014,1,1172689.754,1839171.652,41.71411887,-87.64314541,"(41.714118868089905, -87.64314540818165)"
55TH AND KEDZIE,2162,5500 S KEDZIE AVENUE,7/21/2014,3,1155945.855,1867941.621,41.79342024,-87.70369751,"(41.793420236755864, -87.70369750845424)"
DIVERSEY AND WESTERN,1434,2400 W DIVERSEY AVENUE,10/9/2014,2,1159859.648,1918576.256,41.93228718,-87.68795009,"(41.93228718299094, -87.6879500934122)"
CENTRAL AND IRVING PARK,1183,5600 W IRVING PARK ROAD,8/3/2014,2,1138281.535,1926078.648,41.95329285,-87.76706571,"(41.953292847298, -87.76706570775266)"
DAMEN AND 63RD,2702,6300 S DAMEN AVENUE,8/16/2014,1,1164069.408,1862830.277,41.77922692,-87.67405273,"(41.77922692069256, -87.67405273137854)"
115TH AND HALSTED,2552,11500 S HALSTED STREE,8/19/2014,14,,,,,
LARAMIE AND FULLERTON,1421,2400 N LARAMIE AVENUE,9/23/2014,2,1141282.877,1915479.164,41.92415187,-87.75629466,"(41.92415187425276, -87.75629466175003)"
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,8/15/2014,1,,,,,
KEDZIE AND 71ST,2352,7100 S KEDZIE AVENUE,9/5/2014,5,1156225.54,1857330.103,41.76429504,-87.70295716,"(41.764295036756856, -87.70295716211793)"
WESTERN AND ADDISON,1563,2400 W ADDISON,7/11/2014,9,1159719.042,1923878.577,41.94683999,-87.68832019,"(41.9468399910054, -87.68832019252964)"
FULLERTON AND NARRAGANSETT,1553,6400 W FULLERTON AVENU,10/3/2014,1,1133317.594,1915293.661,41.92378619,-87.78556721,"(41.92378618871128, -87.78556720562165)"
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,8/14/2014,6,,,,,
HOMAN/KIMBALL AND NORTH,1773,3400 W NORTH AVE,10/9/2014,6,1153386.579,1910465.871,41.91016285,-87.71195387,"(41.91016284680269, -87.71195386769125)"
LAKE SHORE DR AND BELMONT,1412,3200 N LAKESHORE DRIV,8/7/2014,1,1173053.221,1921821.381,41.94090916,-87.63936916,"(41.94090916326764, -87.63936915995522)"
ASHLAND AND ARCHER,2301,3100 S ASHLAND AVENUE,8/29/2014,9,1166131.325,1884126.425,41.83762234,-87.66588718,"(41.83762234415814, -87.66588718054551)"
WESTERN AND TOUHY,1251,7200 N WESTERN AVENUE,9/9/2014,3,1158975.663,1947754.287,42.01237134,-87.69039392,"(42.012371334791766, -87.69039391737863)"
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,7/7/2014,11,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/13/2014,3,,,,,
IRVING PARK AND LARAMIE,1534,5200 W IRVING PARK ROA,7/17/2014,3,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/23/2014,12,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,7/23/2014,9,,,,,
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,7/6/2014,6,,,,,
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,7/22/2014,8,,,,,
HAMLIN AND MADISON,1901,0 N HAMLIN BOULEVARD,8/7/2014,2,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,7/25/2014,16,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,7/2/2014,4,,,,,
IRVING PARK AND LARAMIE,1533,5200 W IRVING PARK ROA,8/15/2014,2,,,,,
CORNELL DRIVE AND 57TH,2182,5700 S CORNELL DRIVE,8/15/2014,14,1188165.733,1867529.196,41.7915802,-87.58556422,"(41.79158020433135, -87.58556421519536)"
HALSTED AND 63RD,2691,6300 S HALSTED STREET,8/22/2014,2,1172011.176,1863049.42,41.7796575,-87.64493099,"(41.77965750036339, -87.64493099278877)"
HALSTED AND 63RD,2691,6300 S HALSTED STREET,9/25/2014,3,1172011.176,1863049.42,41.7796575,-87.64493099,"(41.77965750036339, -87.64493099278877)"
WESTERN AND 71ST,2612,7100 S WESTERN AVENUE,8/28/2014,17,1161563.705,1857484.211,41.76460891,-87.68338705,"(41.76460891223613, -87.68338705328121)"
PULASKI AND PETERSON,1263,4000 W PETERSON AVENUE,8/20/2014,21,1148618.56,1939615.134,41.99024419,-87.72871439,"(41.99024418564742, -87.7287143910091)"
79TH AND HALSTED,2543,800 W 79TH STREET,9/14/2014,5,1172320.106,1852517.981,41.75075116,-87.64410779,"(41.75075115747316, -87.64410779300933)"
CORNELL DRIVE AND 57TH,2182,5700 S CORNELL DRIVE,8/17/2014,8,1188165.733,1867529.196,41.7915802,-87.58556422,"(41.79158020433135, -87.58556421519536)"
PULASKI AND DIVISION,1801,1200 N PULASKI ROAD,7/3/2014,2,1149459.591,1907723.22,41.9027139,-87.72645146,"(41.902713901936174, -87.72645145715836)"
99TH AND HALSTED,2433,800 W 99TH ST,9/26/2014,5,1172710.643,1839246.331,41.71432334,-87.64306671,"(41.71432333701137, -87.64306671421937)"
WESTERN AND ADDISON,1562,3600 N WESTERN AVENUE,9/8/2014,13,1159695.573,1923871.086,41.94681992,-87.68840666,"(41.94681991986288, -87.68840666206194)"
KEDZIE AND 63RD,2361,6300 S KEDZIE AVE,7/1/2014,1,1156097.505,1862668.052,41.77894575,-87.70328312,"(41.77894575017997, -87.70328311900342)"
KEDZIE AND ARMITAGE,1832,2000 N KEDZIE AVENUE,7/1/2014,5,1154684.032,1913129.496,41.91744617,-87.70711607,"(41.91744617191702, -87.70711607187832)"
TOUHY AND OSCEOLA,1243,7432 W TOUHY AVENUE,8/1/2014,1,1125717.011,1947269.685,42.01166177,-87.81278143,"(42.01166176507329, -87.81278143114147)"
HALSTED AND NORTH,1761,1600 N HALSTED STREET,8/7/2014,5,1170678.283,1910880.991,41.91094064,-87.64841904,"(41.91094064391597, -87.64841904272998)"
ASHLAND AND 95TH,2472,9500 S ASHLAND AVENUE,8/3/2014,12,1167295.83,1841695.121,41.72116061,-87.66282814,"(41.72116061205213, -87.66282813939165)"
HALSTED AND DIVISION,1714,800 W DIVISION,9/16/2014,4,1170767.828,1908259.644,41.90374556,-87.64816701,"(41.90374555734733, -87.64816701062779)"
LASALLE AND KINZIE,1921,400 N LASALLE,9/20/2014,7,1175028.58,1903002.552,41.88922537,-87.63267412,"(41.88922537162015, -87.63267411498495)"
HOMAN/KIMBALL AND NORTH,1771,1600 N HOMAN AVENUE,8/14/2014,1,,,,,
31ST AND CALIFORNIA,2064,2800 W 31ST,8/6/2014,1,,,,,
CENTRAL AND DIVERSEY,1642,2800 N CENTRAL AVENUE,10/9/2014,2,1138516.407,1918089.499,41.93136555,-87.76639653,"(41.93136555236339, -87.76639652879172)"
ASHLAND AND MADISON,1911,0 N ASHLAND AVE,7/28/2014,1,,,,,
31ST AND CALIFORNIA,2064,2800 W 31ST,7/28/2014,1,,,,,
MADISON AND CENTRAL,1751,0 S CENTRAL AVENUE,7/20/2014,2,,,,,
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,7/31/2014,3,,,,,
IRVING PARK AND LARAMIE,1533,5200 W IRVING PARK ROA,7/7/2014,4,,,,,
KIMBALL AND DIVERSEY,1581,2800 N KIMBALL AVENUE,7/13/2014,4,,,,,
VAN BUREN AND WESTERN,2054,2400 W VAN BUREN STREE,7/29/2014,10,,,,,
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,8/4/2014,5,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,8/5/2014,4,,,,,
ASHLAND AND MADISON,1911,0 N ASHLAND AVE,7/22/2014,2,,,,,
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,7/21/2014,5,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,8/19/2014,1,,,,,
55TH AND WESTERN,2213,2400 W 55TH STREET,9/4/2014,2,1161277.013,1868185.749,41.79398135,-87.68414174,"(41.7939813465735, -87.68414174128355)"
BLUE ISLAND AND DAMEN,2283,2416 S BLUE ISLAND AV,9/11/2014,3,1163271.403,1888053.313,41.84845863,-87.67627127,"(41.848458633352884, -87.67627126912292)"
CICERO AND 47TH,2204,4800 W 47TH ST,9/29/2014,14,1145130.049,1873078.442,41.80772702,-87.74322937,"(41.80772701677172, -87.74322936566276)"
87TH AND VINCENNES,2412,8700 S VINCENNES,8/7/2014,5,1172026.329,1847142.497,41.73600657,-87.64534182,"(41.73600656458518, -87.64534181897955)"
CICERO AND 47TH,2204,4800 W 47TH ST,8/8/2014,17,1145130.049,1873078.442,41.80772702,-87.74322937,"(41.80772701677172, -87.74322936566276)"
CENTRAL AND BELMONT,1604,5600 W BELMONT AVENUE,7/13/2014,4,1138453.617,1920755.973,41.93868378,-87.76656249,"(41.93868377475747, -87.76656249384537)"
HOMAN/KIMBALL AND NORTH,1773,3400 W NORTH AVE,7/20/2014,3,1153386.579,1910465.871,41.91016285,-87.71195387,"(41.91016284680269, -87.71195386769125)"
PULASKI AND CHICAGO,1983,4000 W CHICAGO AVENUE,10/9/2014,5,1149561.856,1905086.596,41.89547675,-87.72614436,"(41.89547675163723, -87.72614435991626)"
BROADWAY/SHERIDAN AND DEVON,1123,1200 W DEVON AVE,8/6/2014,2,1167109.644,1942688.148,41.99829823,-87.66061166,"(41.99829822771884, -87.66061166063517)"
SHERIDAN AND FOSTER,1134,1000 W FOSTER AVE,9/29/2014,1,1168689.248,1934758.578,41.97650512,-87.65503188,"(41.97650511595711, -87.65503188224778)"
HOLLYWOOD AND SHERIDAN,1344,1000 W HOLLYWOOD AVE,10/2/2014,12,1168580.229,1938090.295,41.9856498,-87.65533581,"(41.98564979859328, -87.65533580655139)"
CICERO AND CHICAGO,1783,4800 W CHICAGO AVENUE,9/19/2014,4,1144175.291,1904916.255,41.89511222,-87.74593243,"(41.89511221857764, -87.74593242701515)"
CORNELL DRIVE AND 57TH,2181,5700 S CORNELL DRIVE,7/8/2014,6,1188165.733,1867529.196,41.7915802,-87.58556422,"(41.79158020433135, -87.58556421519536)"
ASHLAND AND 63RD,2681,6300 S ASHLAND AVE,10/2/2014,3,1166711.253,1862903.63,41.77937222,-87.66436535,"(41.77937222048469, -87.66436534741581)"
ROOSEVELT AND PULASKI,2314,4000 W ROOSEVELT ROAD,7/26/2014,5,1149885.032,1894449.464,41.866281,-87.72523422,"(41.866281002664536, -87.72523421983905)"
CENTRAL AND BELMONT,1604,5600 W BELMONT AVENUE,10/1/2014,2,1138453.617,1920755.973,41.93868378,-87.76656249,"(41.93868377475747, -87.76656249384537)"
ASHLAND AND IRVING PARK,1153,1600 W IRVING PARK ROA,7/17/2014,5,,,,,
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,7/12/2014,1,,,,,
KIMBALL AND DIVERSEY,1581,2800 N KIMBALL AVENUE,7/15/2014,2,,,,,
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,8/2/2014,9,,,,,
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,7/2/2014,6,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/27/2014,6,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/18/2014,2,,,,,
ASHLAND AND IRVING PARK,1153,1600 W IRVING PARK ROA,7/26/2014,7,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/21/2014,6,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,7/20/2014,7,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/26/2014,6,,,,,
MADISON AND CENTRAL,1751,0 S CENTRAL AVENUE,7/28/2014,1,,,,,
KIMBALL AND DIVERSEY,1581,2800 N KIMBALL AVENUE,7/16/2014,5,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,7/20/2014,10,,,,,
31ST AND CALIFORNIA,2064,2800 W 31ST,7/2/2014,2,,,,,
KIMBALL AND DIVERSEY,1581,2800 N KIMBALL AVENUE,8/6/2014,4,,,,,
ASHLAND AND MADISON,1911,0 N ASHLAND AVE,8/6/2014,2,,,,,
115TH AND HALSTED,2552,11500 S HALSTED STREE,7/3/2014,21,,,,,
MADISON AND CENTRAL,1751,0 S CENTRAL AVENUE,7/16/2014,2,,,,,
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,7/28/2014,4,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,7/12/2014,6,,,,,
115TH AND HALSTED,2552,11500 S HALSTED STREE,7/31/2014,4,,,,,
IRVING PARK AND CALIFORNIA,1234,2800 W IRVING PARK ROA,7/29/2014,10,,,,,
115TH AND HALSTED,2552,11500 S HALSTED STREE,7/10/2014,14,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/19/2014,7,,,,,
IRVING PARK AND LARAMIE,1534,5200 W IRVING PARK ROA,7/10/2014,4,,,,,
IRVING PARK AND LARAMIE,1534,5200 W IRVING PARK ROA,7/27/2014,1,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,7/22/2014,8,,,,,
115TH AND HALSTED,2552,11500 S HALSTED STREE,7/7/2014,13,,,,,
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,7/30/2014,3,,,,,
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,7/31/2014,2,,,,,
IRVING PARK AND LARAMIE,1533,5200 W IRVING PARK ROA,7/19/2014,7,,,,,
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,7/1/2014,1,,,,,
HALSTED AND 103RD,2592,10300 S HALSTED STREE,7/25/2014,14,,,,,
HALSTED AND 103RD,2592,10300 S HALSTED STREE,7/22/2014,14,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/15/2014,1,,,,,
ASHLAND AND DIVERSEY,1623,1600 W DIVERSEY PARKWA,7/14/2014,4,,,,,
ASHLAND AND IRVING PARK,1153,1600 W IRVING PARK ROA,7/22/2014,7,,,,,
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,7/5/2014,1,,,,,
HAMLIN AND MADISON,1901,0 N HAMLIN BOULEVARD,7/4/2014,4,,,,,
ASHLAND AND IRVING PARK,1153,1600 W IRVING PARK ROA,7/28/2014,8,,,,,
IRVING PARK AND KILPATRICK,2764,4700 W IRVING PARK ROA,7/8/2014,5,,,,,
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,7/12/2014,9,,,,,
